sku,image,small_image,thumbnail
sscrishosgb148,/acctrvbagadi032.jpg,/acctrvbagadi032.jpg,/acctrvbagadi032.jpg
sscribagsgb136,/sscribatadi010.jpg,/sscribatadi010.jpg,/sscribatadi010.jpg
sscrihelsgb157,/fsgymothadi027.jpg,/fsgymothadi027.jpg,/fsgymothadi027.jpg
sscribagsgb144,/acctrvbagadi032.jpg,/acctrvbagadi032.jpg,/acctrvbagadi032.jpg
