sku,image,small_image,thumbnail,type
sscrishosgb148,/acctrvbagadi032.jpg,/acctrvbagadi032.jpg,/acctrvbagadi032.jpg,simple
sscribagsgb136,/sscribatadi010.jpg,/sscribatadi010.jpg,/sscribatadi010.jpg,simple
