sku,image,small_image,thumbnail,type
sscrishosgb148,/s/acctrvbagadi032.jpg,/s/acctrvbagadi032.jpg,/s/acctrvbagadi032.jpg,simple
sscribagsgb136,/s/sscribatadi010.jpg,/s/sscribatadi010.jpg,/s/sscribatadi010.jpg,simple
