sku,image,small_image,thumbnail
sscrishosgb148,/s/acctrvbagadi032.jpg,/s/acctrvbagadi032.jpg,/s/acctrvbagadi032.jpg
sscribagsgb136,/s/sscribatadi010.jpg,/s/sscribatadi010.jpg,/s/sscribatadi010.jpg
